[-0.00021003],[-0.00034127],[0.67945125]
[-0.00021134],[-0.00034482],[0.67785976]
[-0.00021265],[-0.00034838],[0.67627025]
[-0.00021396],[-0.00035197],[0.6746827]
[-0.00021526],[-0.00035558],[0.67309713]
[-0.00021655],[-0.0003592],[0.67151354]
[-0.00021785],[-0.00036285],[0.6699319]
[-0.00021913],[-0.00036651],[0.66835224]
[-0.00022042],[-0.00037019],[0.66677454]
[-0.0002217],[-0.00037389],[0.6651988]
[-0.00022297],[-0.00037761],[0.66362503]
[-0.00022424],[-0.00038135],[0.66205321]
[-0.00022551],[-0.0003851],[0.66048335]
[-0.00022677],[-0.00038888],[0.65891545]
[-0.00022802],[-0.00039267],[0.6573495]
[-0.00022928],[-0.00039648],[0.6557855]
[-0.00023052],[-0.00040031],[0.65422345]
[-0.00023177],[-0.00040416],[0.65266335]
[-0.00023301],[-0.00040803],[0.65110519]
[-0.00023424],[-0.00041192],[0.64954898]
[-0.00023547],[-0.00041582],[0.64799472]
[-0.0002367],[-0.00041974],[0.64644239]
[-0.00023792],[-0.00042368],[0.644892]
[-0.00023913],[-0.00042764],[0.64334355]
[-0.00024034],[-0.00043162],[0.64179704]
[-0.00024155],[-0.00043562],[0.64025245]
[-0.00024275],[-0.00043963],[0.6387098]
[-0.00024395],[-0.00044366],[0.63716908]
[-0.00024514],[-0.00044771],[0.63563029]
[-0.00024632],[-0.00045178],[0.63409342]
[-0.00024751],[-0.00045587],[0.63255848]
[-0.00024868],[-0.00045997],[0.63102546]
[-0.00024986],[-0.00046409],[0.62949436]
[-0.00025102],[-0.00046823],[0.62796518]
[-0.00025219],[-0.00047239],[0.62643792]
[-0.00025334],[-0.00047656],[0.62491257]
[-0.0002545],[-0.00048076],[0.62338914]
[-0.00025564],[-0.00048497],[0.62186761]
[-0.00025679],[-0.0004892],[0.620348]
[-0.00025792],[-0.00049345],[0.61883029]
[-0.00025906],[-0.00049771],[0.61731449]
[-0.00026018],[-0.00050199],[0.6158006]
[-0.00026131],[-0.00050629],[0.61428861]
[-0.00026242],[-0.00051061],[0.61277852]
[-0.00026354],[-0.00051494],[0.61127032]
[-0.00026464],[-0.00051929],[0.60976403]
[-0.00026575],[-0.00052366],[0.60825963]
[-0.00026684],[-0.00052805],[0.60675712]
[-0.00026793],[-0.00053245],[0.60525651]
[-0.00026902],[-0.00053687],[0.60375778]
[-0.0002701],[-0.00054131],[0.60226094]
[-0.00027118],[-0.00054577],[0.60076599]
[-0.00027225],[-0.00055024],[0.59927293]
[-0.00027332],[-0.00055473],[0.59778174]
[-0.00027438],[-0.00055924],[0.59629244]
[-0.00027543],[-0.00056376],[0.59480502]
[-0.00027649],[-0.0005683],[0.59331947]
[-0.00027753],[-0.00057286],[0.5918358]
[-0.00027857],[-0.00057743],[0.59035401]
[-0.00027961],[-0.00058202],[0.58887408]
[-0.00028064],[-0.00058663],[0.58739603]
[-0.00028166],[-0.00059126],[0.58591984]
[-0.00028268],[-0.0005959],[0.58444552]
[-0.00028369],[-0.00060055],[0.58297307]
[-0.0002847],[-0.00060523],[0.58150248]
[-0.00028571],[-0.00060992],[0.58003375]
[-0.00028671],[-0.00061463],[0.57856688]
[-0.0002877],[-0.00061935],[0.57710186]
[-0.00028869],[-0.00062409],[0.57563871]
[-0.00028967],[-0.00062884],[0.57417741]
[-0.00029065],[-0.00063362],[0.57271796]
[-0.00029162],[-0.00063841],[0.57126036]
[-0.00029259],[-0.00064321],[0.56980461]
[-0.00029355],[-0.00064803],[0.5683507]
[-0.0002945],[-0.00065287],[0.56689865]
[-0.00029545],[-0.00065772],[0.56544843]
[-0.0002964],[-0.00066259],[0.56400006]
[-0.00029734],[-0.00066747],[0.56255353]
[-0.00029828],[-0.00067237],[0.56110883]
[-0.00029921],[-0.00067729],[0.55966598]
[-0.00030013],[-0.00068222],[0.55822495]
[-0.00030105],[-0.00068717],[0.55678576]
[-0.00030196],[-0.00069213],[0.55534841]
[-0.00030287],[-0.00069711],[0.55391288]
[-0.00030378],[-0.0007021],[0.55247918]
[-0.00030468],[-0.00070711],[0.5510473]
[-0.00030557],[-0.00071213],[0.54961725]
[-0.00030646],[-0.00071717],[0.54818902]
[-0.00030734],[-0.00072223],[0.54676261]
[-0.00030822],[-0.0007273],[0.54533803]
[-0.00030909],[-0.00073238],[0.54391525]
[-0.00030995],[-0.00073748],[0.5424943]
[-0.00031082],[-0.0007426],[0.54107516]
[-0.00031167],[-0.00074773],[0.53965783]
[-0.00031252],[-0.00075287],[0.53824231]
[-0.00031337],[-0.00075803],[0.5368286]
[-0.00031421],[-0.0007632],[0.53541669]
[-0.00031504],[-0.00076839],[0.53400659]
[-0.00031587],[-0.0007736],[0.5325983]
[-0.0003167],[-0.00077881],[0.5311918]
[-0.00031752],[-0.00078405],[0.52978711]
[-0.00031833],[-0.00078929],[0.52838421]
[-0.00031914],[-0.00079455],[0.52698311]
[-0.00031995],[-0.00079983],[0.52558381]
[-0.00032074],[-0.00080512],[0.5241863]
[-0.00032154],[-0.00081042],[0.52279057]
[-0.00032233],[-0.00081574],[0.52139664]
[-0.00032311],[-0.00082107],[0.5200045]
[-0.00032389],[-0.00082642],[0.51861414]
[-0.00032466],[-0.00083178],[0.51722557]
[-0.00032543],[-0.00083715],[0.51583878]
[-0.00032619],[-0.00084254],[0.51445377]
[-0.00032695],[-0.00084794],[0.51307053]
[-0.0003277],[-0.00085336],[0.51168908]
[-0.00032844],[-0.00085879],[0.5103094]
[-0.00032919],[-0.00086423],[0.5089315]
[-0.00032992],[-0.00086968],[0.50755537]
[-0.00033065],[-0.00087515],[0.50618101]
[-0.00033138],[-0.00088063],[0.50480841]
[-0.0003321],[-0.00088613],[0.50343759]
[-0.00033282],[-0.00089164],[0.50206853]
[-0.00033353],[-0.00089716],[0.50070123]
[-0.00033424],[-0.0009027],[0.4993357]
[-0.00033494],[-0.00090824],[0.49797192]
[-0.00033563],[-0.0009138],[0.49660991]
[-0.00033632],[-0.00091938],[0.49524965]
[-0.00033701],[-0.00092496],[0.49389115]
[-0.00033769],[-0.00093056],[0.4925344]
[-0.00033836],[-0.00093617],[0.4911794]
[-0.00033904],[-0.0009418],[0.48982615]
[-0.0003397],[-0.00094743],[0.48847465]
[-0.00034036],[-0.00095308],[0.4871249]
[-0.00034102],[-0.00095874],[0.48577689]
[-0.00034167],[-0.00096442],[0.48443062]
[-0.00034231],[-0.0009701],[0.4830861]
[-0.00034295],[-0.0009758],[0.48174332]
[-0.00034359],[-0.00098151],[0.48040227]
[-0.00034422],[-0.00098723],[0.47906296]
[-0.00034485],[-0.00099297],[0.47772539]
[-0.00034547],[-0.00099871],[0.47638955]
[-0.00034608],[-0.00100447],[0.47505544]
[-0.0003467],[-0.00101024],[0.47372306]
[-0.0003473],[-0.00101602],[0.47239241]
[-0.0003479],[-0.00102181],[0.47106348]
[-0.0003485],[-0.00102762],[0.46973628]
[-0.00034909],[-0.00103343],[0.4684108]
[-0.00034968],[-0.00103926],[0.46708705]
[-0.00035026],[-0.0010451],[0.46576501]
[-0.00035084],[-0.00105094],[0.46444469]
[-0.00035141],[-0.0010568],[0.46312609]
[-0.00035198],[-0.00106267],[0.4618092]
[-0.00035254],[-0.00106856],[0.46049403]
[-0.0003531],[-0.00107445],[0.45918057]
[-0.00035365],[-0.00108035],[0.45786881]
[-0.0003542],[-0.00108627],[0.45655877]
[-0.00035474],[-0.00109219],[0.45525043]
[-0.00035528],[-0.00109813],[0.45394379]
[-0.00035582],[-0.00110407],[0.45263886]
[-0.00035635],[-0.00111003],[0.45133563]
[-0.00035687],[-0.001116],[0.4500341]
[-0.00035739],[-0.00112197],[0.44873426]
[-0.00035791],[-0.00112796],[0.44743613]
[-0.00035842],[-0.00113396],[0.44613969]
[-0.00035893],[-0.00113996],[0.44484494]
[-0.00035943],[-0.00114598],[0.44355188]
[-0.00035993],[-0.00115201],[0.44226051]
[-0.00036042],[-0.00115804],[0.44097083]
[-0.00036091],[-0.00116409],[0.43968284]
[-0.00036139],[-0.00117015],[0.43839653]
[-0.00036187],[-0.00117621],[0.4371119]
[-0.00036234],[-0.00118229],[0.43582896]
[-0.00036281],[-0.00118837],[0.43454769]
[-0.00036328],[-0.00119446],[0.4332681]
[-0.00036374],[-0.00120057],[0.43199019]
[-0.0003642],[-0.00120668],[0.43071396]
[-0.00036465],[-0.0012128],[0.42943939]
[-0.0003651],[-0.00121893],[0.4281665]
[-0.00036554],[-0.00122507],[0.42689528]
[-0.00036598],[-0.00123121],[0.42562573]
[-0.00036641],[-0.00123737],[0.42435784]
[-0.00036684],[-0.00124353],[0.42309162]
[-0.00036727],[-0.00124971],[0.42182706]
[-0.00036769],[-0.00125589],[0.42056416]
[-0.0003681],[-0.00126208],[0.41930293]
[-0.00036852],[-0.00126828],[0.41804335]
[-0.00036892],[-0.00127448],[0.41678543]
[-0.00036933],[-0.0012807],[0.41552916]
[-0.00036973],[-0.00128692],[0.41427455]
[-0.00037012],[-0.00129315],[0.41302159]
[-0.00037051],[-0.00129939],[0.41177028]
[-0.0003709],[-0.00130564],[0.41052061]
[-0.00037128],[-0.00131189],[0.4092726]
[-0.00037166],[-0.00131815],[0.40802623]
[-0.00037203],[-0.00132442],[0.4067815]
[-0.0003724],[-0.0013307],[0.40553842]
[-0.00037277],[-0.00133698],[0.40429698]
[-0.00037313],[-0.00134327],[0.40305717]
[-0.00037349],[-0.00134957],[0.401819]
[-0.00037384],[-0.00135588],[0.40058247]
[-0.00037419],[-0.00136219],[0.39934758]
[-0.00037453],[-0.00136851],[0.39811431]
[-0.00037487],[-0.00137484],[0.39688268]
[-0.00037521],[-0.00138117],[0.39565267]
[-0.00037554],[-0.00138751],[0.39442429]
[-0.00037587],[-0.00139385],[0.39319754]
[-0.00037619],[-0.00140021],[0.39197241]
[-0.00037651],[-0.00140657],[0.39074891]
[-0.00037683],[-0.00141293],[0.38952703]
[-0.00037714],[-0.0014193],[0.38830676]
[-0.00037745],[-0.00142568],[0.38708812]
[-0.00037776],[-0.00143206],[0.38587109]
[-0.00037806],[-0.00143845],[0.38465567]
[-0.00037835],[-0.00144485],[0.38344187]
[-0.00037865],[-0.00145125],[0.38222968]
[-0.00037893],[-0.00145766],[0.3810191]
[-0.00037922],[-0.00146407],[0.37981013]
[-0.0003795],[-0.00147049],[0.37860276]
[-0.00037978],[-0.00147691],[0.377397]
[-0.00038005],[-0.00148334],[0.37619284]
[-0.00038032],[-0.00148978],[0.37499029]
[-0.00038058],[-0.00149622],[0.37378933]
[-0.00038085],[-0.00150266],[0.37258998]
[-0.0003811],[-0.00150911],[0.37139222]
[-0.00038136],[-0.00151556],[0.37019606]
[-0.00038161],[-0.00152202],[0.36900149]
[-0.00038185],[-0.00152849],[0.36780851]
[-0.0003821],[-0.00153495],[0.36661712]
[-0.00038234],[-0.00154143],[0.36542733]
[-0.00038257],[-0.0015479],[0.36423912]
[-0.0003828],[-0.00155439],[0.3630525]
[-0.00038303],[-0.00156087],[0.36186746]
[-0.00038326],[-0.00156736],[0.360684]
[-0.00038348],[-0.00157386],[0.35950213]
[-0.00038369],[-0.00158035],[0.35832183]
[-0.00038391],[-0.00158686],[0.35714312]
[-0.00038412],[-0.00159336],[0.35596598]
[-0.00038432],[-0.00159987],[0.35479041]
[-0.00038453],[-0.00160638],[0.35361642]
